date,type,depth,s_1,af_1,af_2,af_3,af_4
2024-09-17,r,1,3.090714312,27.4,32.11,24.96,
2024-09-17,r,5,8.072646023,99.91,107.7,111,
2024-09-17,r,10,0.676684204,3.261,2.653,3.649,
2024-09-17,r,20,0.285426225,1.774,2.815,1.419,
2024-09-17,r,30,0.253988818,5.442,1.826,1.667,
2024-09-17,r,100,0.088946573,0.914,0.839,0.977,
2024-08-20,e,1,1.408581857,4.585,4.489,4.303,
2024-08-20,e,5,1.428051449,4.542,5.015,5.651,
2024-08-20,e,10,1.6942234,5.516,5.435,5.346,
2024-08-20,e,20,0.319079133,1.391,1.292,1.743,1.437
